Parent PID 12
Child PIDs 13 14 15 16 17

Jiffies 5962, PID 15, -> Running
Jiffies 5967, PID 15, -> Ready (Preempted)
Jiffies 5967, PID 14, -> Running
Jiffies 5972, PID 14, -> Ready (Preempted)
Jiffies 5972, PID 13, -> Running
Jiffies 5977, PID 13, -> Ready (Preempted)
Jiffies 5977, PID 17, -> Running
Jiffies 5982, PID 17, -> Ready (Preempted)
Jiffies 5982, PID 16, -> Running
Jiffies 5987, PID 16, -> Ready (Preempted)
Jiffies 5987, PID 15, -> Running
Jiffies 5992, PID 15, -> Ready (Preempted)
Jiffies 5992, PID 14, -> Running
Jiffies 5997, PID 14, -> Ready (Preempted)
Jiffies 5997, PID 13, -> Running
Jiffies 6002, PID 13, -> Ready (Preempted)
Jiffies 6002, PID 17, -> Running
Jiffies 6007, PID 17, -> Ready (Preempted)
Jiffies 6007, PID 16, -> Running
Jiffies 6012, PID 16, -> Ready (Preempted)
Jiffies 6012, PID 15, -> Running
Jiffies 6017, PID 15, -> Ready (Preempted)
Jiffies 6017, PID 14, -> Running
Jiffies 6022, PID 14, -> Ready (Preempted)
Jiffies 6022, PID 13, -> Running
Jiffies 6027, PID 13, -> Ready (Preempted)
Jiffies 6027, PID 17, -> Running
Jiffies 6032, PID 17, -> Ready (Preempted)
Jiffies 6032, PID 16, -> Running
Jiffies 6037, PID 16, -> Ready (Preempted)
Jiffies 6037, PID 15, -> Running
Jiffies 6042, PID 15, -> Ready (Preempted)
Jiffies 6042, PID 14, -> Running
Jiffies 6047, PID 14, -> Ready (Preempted)
Jiffies 6047, PID 13, -> Running
Jiffies 6052, PID 13, -> Ready (Preempted)
Jiffies 6052, PID 17, -> Running
Jiffies 6057, PID 17, -> Ready (Preempted)
Jiffies 6057, PID 16, -> Running
Jiffies 6062, PID 16, -> Ready (Preempted)
Jiffies 6062, PID 15, -> Running
Jiffies 6067, PID 15, -> Ready (Preempted)
Jiffies 6067, PID 14, -> Running
Jiffies 6072, PID 14, -> Ready (Preempted)
Jiffies 6072, PID 13, -> Running
Jiffies 6077, PID 13, -> Ready (Preempted)
Jiffies 6077, PID 17, -> Running
Jiffies 6082, PID 17, -> Ready (Preempted)
Jiffies 6082, PID 16, -> Running
Jiffies 6087, PID 16, -> Ready (Preempted)
Jiffies 6087, PID 15, -> Running
Jiffies 6092, PID 15, -> Ready (Preempted)
Jiffies 6092, PID 14, -> Running
Jiffies 6097, PID 14, -> Ready (Preempted)
Jiffies 6097, PID 13, -> Running
Jiffies 6102, PID 13, -> Ready (Preempted)
Jiffies 6102, PID 17, -> Running
Jiffies 6107, PID 17, -> Ready (Preempted)
Jiffies 6107, PID 16, -> Running
Jiffies 6112, PID 16, -> Ready (Preempted)
Jiffies 6112, PID 15, -> Running
Jiffies 6117, PID 15, -> Ready (Preempted)
Jiffies 6117, PID 14, -> Running
